"location","ISO3","RLI_2020_weighted","species_richness","catch","catch_cv","effort","cpue","coastpop_2020","latitude","PrimaryProduction","area_km2","SST","subsidy_good","subsidy_bad","GDP_2019","WGI_2018","HDI_2021","finsHK_2010"
"Ile Tromelin","FRA",0.6,1,0.13,0.834916928588685,NA,0.000220120056710066,0,-15.6944446864532,-262.566115702479,274555,27.2438016528926,0.10995544190451,0.518803845605784,2.71552e+12,1.11651965727409,0.903,6.016
"India","IND",0.437341395052358,95,54460.79,0.178127608378572,1582449560.51803,4.57603502714997e-05,315082188.1,14.4752423674061,-9.2487012987013,1659487,29.3609018759019,0.00264432402396203,0.0992267921879911,2.87514e+12,-0.106395186235507,0.633,151.3
"Indonesia","IDN",0.574991952052321,145,132735.73,0.148897226027555,1581484728.98689,5.92888543474178e-05,263894838.6,-3.27110433220373,-125.615997037586,6020917,30.1834104795408,0.0232973631902377,0.0608239707896987,1.11919e+12,-0.135259423404932,0.705,805.919
"Iran","IRN",0.574911885330745,59,28493.25,0.145594803674809,296584202.268755,8.52968590546541e-05,20920646.78,29.3674943981945,26.2631578947368,215332,26.3444976076555,0.157150520298938,0.224298483416344,NA,-1.00062509874503,0.774,0.767
"Iraq","IRQ",0.627958625514546,43,NA,NA,74224146.6504045,NA,2829183.755,29.7691888136531,70.3239363543539,1187,26.6363636363636,0,0,2.34094e+11,-1.54020341237386,0.686,NA
"Ireland","IRL",0.595930663099973,22,4567.01,0.455551565434584,28606882.380949,0.000108150109673466,5371445.973,52.4854378109185,11.4373040752351,427039,11.7617554858934,0.0235113350223508,0.182798460856432,3.88699e+11,1.39610588550568,0.945,NA
"Israel","ISR",0.544691188267154,65,25.34,0.749358406011693,3674777.54669191,5.91798743444267e-05,8627088.967,32.5709102608906,-231.909090909091,24628,23.2272727272727,0.130683932666108,0.0334926486114337,3.95099e+11,0.659117807944616,0.919,NA
"Italy","ITA",0.525570033561901,38,3525.35,0.547000323276033,206008599.170633,5.26465722956426e-05,46737637.86,39.5513274348934,-190.791068580542,536654,20.3460925039872,0.0342433251627624,0.124625365234581,2.00124e+12,0.487411697705587,0.895,NA
"Ivory Coast","CIV",0.448565300783244,46,3060.96,0.569044715703827,73246831.9675936,1.26394379130123e-05,9588604.545,3.30730047926205,71.7045454545455,171760,28.1363636363636,0.00165831753445958,0.00240419658152879,58792205642,-0.497884919246038,0.55,NA
"Jamaica","JAM",0.627561926522031,23,584.51,0.292589577320013,59803510.0180147,3.23243803440826e-05,2738487.575,16.0625594739483,-193.153159356225,272156,28.6657473724869,0.158030903989021,0.233486143956879,16458071068,0.246455796062946,0.709,NA
"Jan Mayen","ISL",0.478332475391688,2,0.39,1.09280138910648,NA,6.81216682372715e-05,42.72723794,70.9357167082229,127.255299473609,338439,3.06081706287106,0.0654895766808307,0.103985574304832,24188035739,1.54531826575597,0.959,0.997
"Japan","JPN",0.568735493111415,83,25527.94,0.206936101367762,1431985173.34896,2.82179671614736e-05,125918659.19039,28.8525665535664,-91.3225226826565,4281860,16.255765977509,0.0718097128970434,0.302699801593725,5.08177e+12,1.34104003508886,0.925,209.204
"Jarvis Island","USA",0.686069194325581,2,0.28,2.26703588146592,NA,6.84478050655338e-05,0,-0.913181526861232,-193.048951048951,323186,27.6538461538462,0.13800553589164,0.0286611781510377,2.14277e+13,1.24137473106384,0.921,253.303
"Jersey","GBR",0.713595751192499,18,838.82,0.190121079391882,2239399.78487182,0.000160573553212812,74740.9966,49.1209597548451,225.668815166926,2277,12.8181818181818,0.0125856848081199,0.0087111661378516,2.82711e+12,1.33360914761821,0.929,NA
"Johnston Atoll","USA",0.684860799245181,5,4,0.778151052322398,NA,3.84801982813722e-05,0,16.7290444379688,-320.484090909091,442443,27.3204545454545,0.0968774952697082,0.0194646501232082,2.14277e+13,1.24137473106384,0.921,253.303
"Jordan","JOR",0.540826921193305,34,NA,NA,571986.920610636,NA,2550418.858,29.4351353592499,373,97,25.55,0.273606335251143,0.224497505847092,43743661972,-0.0836110437909762,0.72,NA
"Kenya","KEN",0.408547105584214,37,2498.16,0.707801219321142,10722792.3930318,4.25200480346995e-05,3520329.90702887,-2.90900579852284,-135.471074380166,164062,28.5495867768595,0.0134408681069047,0.0563018407078703,95503088538,-0.570881389081478,0.575,10.922
"Kuwait","KWT",0.624670731028584,46,2804.03,0.142024181262506,13610194.953201,0.00032468601524516,3568650.949,29.1834488999563,32.5054008401598,11179,26.8901363067161,0.0873003797373959,0.0619832696135511,1.34761e+11,-0.113502223665516,0.831,NA
"Latvia","LVA",0.6,1,NA,NA,24369446.2438236,NA,1928488.456,57.0927909295396,208.8,28353,10.4545454545455,0.278745181556039,2.64460951617459,34117202555,0.792296315232913,0.863,NA
"Lebanon","LBN",0.411594413443375,33,27.15,0.586979340206287,6649779.86320764,2.14195159720618e-05,9821951.809,33.9060845663733,-228.227272727273,20184,23.3636363636364,0.0788065953936487,6.66158879067191e-05,53367042272,-0.833200916647911,0.706,NA
"Liberia","LBR",0.448610562479004,46,4687.16,0.169785562910964,10917321.7230058,4.26232302183491e-05,2958147.956,3.79988029343929,93.6115702479339,251781,28.5371900826446,0.00441951558264496,0.00276111189642652,3070518100,-0.731310643876592,0.481,0.893
"Libya","LBY",0.521452489017685,36,5612.54,0.561183374218967,46346142.2516251,9.87467665270607e-05,4898138.973,33.1250396947727,-235.328877005348,364524,22,0.0273556370178359,0,52076250948,-1.90446448326111,0.718,NA
"Line Group","KIR",0.682820678921187,6,2291.72,0.399367766789749,NA,4.6575912635107e-05,1105.883217,-3.77062637598808,-218.411888111888,1641193,28.4538461538462,0.0135212570307147,0.0324103421716174,194647201.9,0.327124789357185,0.624,0.73
"Lithuania","LTU",0.6,1,NA,NA,17950012.5416527,NA,600851.8639,55.753740248435,208.460669592489,6832,11.3157245780996,0.416614470503231,5.5118919426727,54219315600,0.886182283361753,0.875,NA
"Madagascar","MDG",0.504951399521807,32,4011.72,0.17263689216088,8597353.0813044,0.000514728490374676,15121585.57,-20.6702853194164,-199.607792207792,1196285,26.3570562770563,0.0224026278304868,0.00701429640785163,14083906357,-0.754959806799889,0.501,21.757
"Madeira","PRT",0.589660072652678,24,327.11,0.696161307531853,NA,0.000120573530408228,239329.5929,33.1240415608322,-240.215644820296,452796,20.7484143763214,0.0431227788749935,0.061771980648205,2.37686e+11,1.07238664229711,0.866,NA
